,PLACA,FECHAPASO,HORAPASO,ZONA
1072,HFK128,29/1/2018 00:00:00,30/12/1899 16:50:49,Servientrega - D
1073,EKV119,29/1/2018 00:00:00,30/12/1899 17:03:24,Guayabal
1074,KJB229,29/1/2018 00:00:00,30/12/1899 17:11:25,Alpujarra - R
1075,KAP313,29/1/2018 00:00:00,30/12/1899 17:11:54,Las Palmas
1076,EKV119,29/1/2018 00:00:00,30/12/1899 17:13:08,Bodegas Olaya
1077,MNQ464,29/1/2018 00:00:00,30/12/1899 17:18:03,Las Palmas
1078,KAP313,29/1/2018 00:00:00,30/12/1899 17:18:05,Chuscalito las Palmas
1079,EKK801,29/1/2018 00:00:00,30/12/1899 17:22:27,Aeroparque Juan Pablo II
1080,MNA513,29/1/2018 00:00:00,30/12/1899 17:36:23,Zoologico Santa Fe
1081,FBX643,29/1/2018 00:00:00,30/12/1899 17:37:53,Carrefour Apolo - Puente 4 Sur
1082,MFU724,29/1/2018 00:00:00,30/12/1899 17:42:44,Carrefour Apolo - Puente 4 Sur
1083,MNO034,29/1/2018 00:00:00,30/12/1899 17:43:07,Premium Plaza
1084,MSO352,29/1/2018 00:00:00,30/12/1899 17:53:04,Fabrica de Licores
1085,BRK342,29/1/2018 00:00:00,30/12/1899 18:02:48,Transversal Superior
1086,FHJ225,29/1/2018 00:00:00,30/12/1899 18:03:36,Tugo II
1087,FHJ225,29/1/2018 00:00:00,30/12/1899 18:07:00,Servientrega - R
1088,MMW494,29/1/2018 00:00:00,30/12/1899 18:07:04,Sauces
1089,FCV756,29/1/2018 00:00:00,30/12/1899 18:15:40,Chuscalito las Palmas
1090,MNO034,29/1/2018 00:00:00,30/12/1899 18:18:07,Fatima
1091,KHS186,29/1/2018 00:00:00,30/12/1899 18:23:14,Bomba Esso - Las Vegas
1092,ITX936,29/1/2018 00:00:00,30/12/1899 18:28:37,Campos de Paz
1093,MNO034,29/1/2018 00:00:00,30/12/1899 18:35:29,Fabrica de Licores
1094,FBX643,29/1/2018 00:00:00,30/12/1899 18:39:48,Transversal Superior
1095,MMX927,29/1/2018 00:00:00,30/12/1899 18:46:45,Cementerio Universal
1096,MST604,29/1/2018 00:00:00,30/12/1899 18:59:59,Mediterraneo
1097,LJA075,29/1/2018 00:00:00,30/12/1899 19:48:37,Parque Juanes
1098,LJA075,29/1/2018 00:00:00,30/12/1899 19:51:28,Cementerio Universal
1099,MNL789,29/1/2018 00:00:00,30/12/1899 20:05:22,Almendros
1100,KBT964,29/1/2018 00:00:00,30/12/1899 21:07:05,Carrefour Apolo - Puente 4 Sur
1101,DFS076,29/1/2018 00:00:00,30/12/1899 21:32:33,Mall Campestre 
1102,EKU521,29/1/2018 00:00:00,30/12/1899 21:41:00,Servientrega - R
1103,FAM813,29/1/2018 00:00:00,30/12/1899 22:14:25,Bodegas Olaya
1104,HFK128,29/1/2018 00:00:00,30/12/1899 22:15:59,exito del Poblado
1105,MMX065,29/1/2018 00:00:00,30/12/1899 22:31:40,Chuscalito las Palmas
1106,MOQ250,29/1/2018 00:00:00,30/12/1899 22:36:03,Doña Maria
1107,EKR425,29/1/2018 00:00:00,30/12/1899 23:09:47,Servientrega - D
1108,KHG517,3/2/2018 00:00:00,30/12/1899 02:46:04,exito del Poblado
1109,FAV822,3/2/2018 00:00:00,30/12/1899 06:31:22,Sauces
1110,FAV822,3/2/2018 00:00:00,30/12/1899 06:38:23,Carrefour Apolo - Puente 4 Sur
1111,DHY119,3/2/2018 00:00:00,30/12/1899 06:39:42,Aeroparque Juan Pablo II
1112,DFW940,3/2/2018 00:00:00,30/12/1899 06:52:45,exito del Poblado
1113,DFW940,3/2/2018 00:00:00,30/12/1899 06:54:10,Mondongos
1114,DFW940,3/2/2018 00:00:00,30/12/1899 07:06:06,10 Hotel
1115,DFW940,3/2/2018 00:00:00,30/12/1899 07:08:55,Servientrega - D
1116,MNT890,3/2/2018 00:00:00,30/12/1899 07:24:28,Bodegas Olaya
1117,FAV822,3/2/2018 00:00:00,30/12/1899 07:43:33,Mondongos
1118,FCK823,3/2/2018 00:00:00,30/12/1899 08:15:26,Servientrega - R
1119,MNT201,3/2/2018 00:00:00,30/12/1899 08:16:19,Las Palmas
1120,DFY102,3/2/2018 00:00:00,30/12/1899 08:53:31,CAI Minorista 
1121,HFK128,3/2/2018 00:00:00,30/12/1899 08:56:28,Alpujarra - R
1122,MNT201,3/2/2018 00:00:00,30/12/1899 09:10:42,Las Palmas
1123,MFU724,3/2/2018 00:00:00,30/12/1899 09:15:54,Transversal Superior
1124,FGW001,3/2/2018 00:00:00,30/12/1899 09:22:09,Tugo II
1125,FGW001,3/2/2018 00:00:00,30/12/1899 09:25:46,Servientrega - R
1126,FHK060,3/2/2018 00:00:00,30/12/1899 09:26:13,Fabrica de Licores
1127,MOL508,3/2/2018 00:00:00,30/12/1899 09:38:52,Palo x Huevo 
1128,NAN805,3/2/2018 00:00:00,30/12/1899 09:47:17,Don Quijote
1129,FBX643,3/2/2018 00:00:00,30/12/1899 09:48:07,Alpujarra - R
1130,DHY119,3/2/2018 00:00:00,30/12/1899 10:15:59,10 Hotel
1131,MNW799,3/2/2018 00:00:00,30/12/1899 10:43:50,La Iguana
1132,MNS161,3/2/2018 00:00:00,30/12/1899 10:46:19,exito del Poblado
1133,BRR124,3/2/2018 00:00:00,30/12/1899 10:47:48,Don Quijote
1134,MFV743,3/2/2018 00:00:00,30/12/1899 10:48:48,Cementerio Universal
1135,EKR425,3/2/2018 00:00:00,30/12/1899 11:02:20,Bomba Esso - Las Vegas
1136,KIX871,3/2/2018 00:00:00,30/12/1899 11:03:26,Campos de Paz
1137,MSR546,3/2/2018 00:00:00,30/12/1899 11:08:31,Las Palmas
1138,KIX871,3/2/2018 00:00:00,30/12/1899 11:21:39,Aeroparque Juan Pablo II
1139,LJA075,3/2/2018 00:00:00,30/12/1899 11:46:55,Carrefour Apolo - Puente 4 Sur
1140,MMQ780,3/2/2018 00:00:00,30/12/1899 11:53:07,Alpujarra - R
1141,MSR546,3/2/2018 00:00:00,30/12/1899 11:57:23,Premium Plaza
1142,HFK128,3/2/2018 00:00:00,30/12/1899 12:03:13,Premium Plaza
1143,MNW799,3/2/2018 00:00:00,30/12/1899 12:14:14,Carrefour Apolo - Puente 4 Sur
1144,FHK312,3/2/2018 00:00:00,30/12/1899 12:16:05,Carrefour Apolo - Puente 4 Sur
1145,MNU565,3/2/2018 00:00:00,30/12/1899 12:29:56,Mediterraneo
1146,FAV822,3/2/2018 00:00:00,30/12/1899 12:33:32,Cristo Rey N-S
1147,EKK801,3/2/2018 00:00:00,30/12/1899 12:46:12,La Mota
1148,KIW930,3/2/2018 00:00:00,30/12/1899 12:50:49,Doña Maria
1149,MMV913,3/2/2018 00:00:00,30/12/1899 12:56:52,Campos de Paz
1150,KIZ946,3/2/2018 00:00:00,30/12/1899 13:06:50,Palos Verdes
1151,FHK060,3/2/2018 00:00:00,30/12/1899 13:09:50,Servientrega - D
1152,MMX963,3/2/2018 00:00:00,30/12/1899 13:23:14,Campos de Paz
1153,FCK823,3/2/2018 00:00:00,30/12/1899 13:29:17,Las Palmas
1154,MMA209,3/2/2018 00:00:00,30/12/1899 13:34:24,Bodegas Olaya
1155,FAW125,3/2/2018 00:00:00,30/12/1899 13:39:04,Sauces
1156,BRR124,3/2/2018 00:00:00,30/12/1899 13:39:59,Mediterraneo
1157,EWZ301,3/2/2018 00:00:00,30/12/1899 13:54:22,Don Quijote
1158,KIZ946,3/2/2018 00:00:00,30/12/1899 14:05:02,Palos Verdes
1159,EWZ301,3/2/2018 00:00:00,30/12/1899 14:06:14,La Mota
1160,EKN739,3/2/2018 00:00:00,30/12/1899 14:06:51,Parque Juanes
1161,FAV822,3/2/2018 00:00:00,30/12/1899 14:13:22,Tugo II
1162,FAV822,3/2/2018 00:00:00,30/12/1899 14:20:39,Servientrega - R
1163,MSR546,3/2/2018 00:00:00,30/12/1899 14:24:00,Aeroparque Juan Pablo II
1164,MSR546,3/2/2018 00:00:00,30/12/1899 14:35:33,Las Palmas
1165,MNT890,3/2/2018 00:00:00,30/12/1899 14:39:13,Parque Juanes
1166,MMX963,3/2/2018 00:00:00,30/12/1899 14:53:34,Fabrica de Licores
1167,MNP616,3/2/2018 00:00:00,30/12/1899 15:17:38,La Mota
1168,DFW940,3/2/2018 00:00:00,30/12/1899 15:23:23,exito del Poblado
1169,DFW940,3/2/2018 00:00:00,30/12/1899 15:28:23,Mondongos
1170,ITX936,3/2/2018 00:00:00,30/12/1899 15:34:18,exito de la 70
1171,ELM925,3/2/2018 00:00:00,30/12/1899 15:36:54,Mediterraneo
1172,MNQ682,3/2/2018 00:00:00,30/12/1899 15:56:50,Las Palmas
1173,MNQ682,3/2/2018 00:00:00,30/12/1899 16:01:55,Mondongos
1174,FBP847,3/2/2018 00:00:00,30/12/1899 16:07:00,Estacion Metro Estadio
1175,FBX643,3/2/2018 00:00:00,30/12/1899 16:09:36,exito del Poblado
1176,MSR546,3/2/2018 00:00:00,30/12/1899 16:14:32,Las Palmas
1177,DFW940,3/2/2018 00:00:00,30/12/1899 16:14:52,Las Palmas
1178,FCL797,3/2/2018 00:00:00,30/12/1899 16:30:37,Mondongos
1179,FBX643,3/2/2018 00:00:00,30/12/1899 16:33:38,Mall Campestre 
1180,MNP616,3/2/2018 00:00:00,30/12/1899 16:34:01,Aeroparque Juan Pablo II
1181,FCK823,3/2/2018 00:00:00,30/12/1899 16:46:14,Campos de Paz
1182,FAV822,3/2/2018 00:00:00,30/12/1899 16:49:20,Carrefour Apolo - Puente 4 Sur
1183,FGW001,3/2/2018 00:00:00,30/12/1899 17:02:22,La Mota
1184,FGW001,3/2/2018 00:00:00,30/12/1899 17:07:43,Fabrica de Licores
1185,MFV743,3/2/2018 00:00:00,30/12/1899 17:33:01,Cementerio Universal
1186,EKN739,3/2/2018 00:00:00,30/12/1899 17:41:06,Parque Juanes
1187,KGV004,3/2/2018 00:00:00,30/12/1899 17:43:47,Campos de Paz
1188,HFK128,3/2/2018 00:00:00,30/12/1899 17:46:41,Carrefour Apolo - Puente 4 Sur
1189,EKK801,3/2/2018 00:00:00,30/12/1899 17:50:30,Don Quijote
1190,KGV004,3/2/2018 00:00:00,30/12/1899 17:53:06,La Mota
1191,MNP119,3/2/2018 00:00:00,30/12/1899 17:54:57,Mondongos
1192,MOL508,3/2/2018 00:00:00,30/12/1899 17:57:58,La Mota
1193,FBP847,3/2/2018 00:00:00,30/12/1899 17:58:21,CAI Minorista 
1194,FCK823,3/2/2018 00:00:00,30/12/1899 17:59:20,Almendros
1195,KGV004,3/2/2018 00:00:00,30/12/1899 18:00:31,Fabrica de Licores
1196,MSO352,3/2/2018 00:00:00,30/12/1899 18:03:46,Servientrega - R
1197,RID923,3/2/2018 00:00:00,30/12/1899 18:18:21,exito del Poblado
1198,RID923,3/2/2018 00:00:00,30/12/1899 18:22:12,Mondongos
1199,HFK128,3/2/2018 00:00:00,30/12/1899 18:45:49,exito del Poblado
1200,KHG517,3/2/2018 00:00:00,30/12/1899 18:59:36,Carrefour Apolo - Puente 4 Sur
1201,RID923,3/2/2018 00:00:00,30/12/1899 19:08:20,10 Hotel
1202,FAM813,3/2/2018 00:00:00,30/12/1899 19:13:12,Mediterraneo
1203,MNW799,3/2/2018 00:00:00,30/12/1899 19:20:42,Carrefour Apolo - Puente 4 Sur
1204,KHG517,3/2/2018 00:00:00,30/12/1899 19:31:50,Servientrega - D
1205,MOL508,3/2/2018 00:00:00,30/12/1899 19:45:01,Fatima
1206,MSR546,3/2/2018 00:00:00,30/12/1899 19:46:19,Chuscalito las Palmas
1207,MOL508,3/2/2018 00:00:00,30/12/1899 19:56:33,La Mota
1208,RID923,3/2/2018 00:00:00,30/12/1899 20:03:51,Servientrega - D
1209,KHG517,3/2/2018 00:00:00,30/12/1899 20:41:45,Sauces
1210,FBX643,3/2/2018 00:00:00,30/12/1899 20:50:05,exito de la 70
1211,MMV913,3/2/2018 00:00:00,30/12/1899 20:52:13,Campos de Paz
1212,KKK374,3/2/2018 00:00:00,30/12/1899 20:52:48,La Mota
1213,FBX643,3/2/2018 00:00:00,30/12/1899 20:57:38,exito del Poblado
1214,KKK374,3/2/2018 00:00:00,30/12/1899 20:59:51,Fabrica de Licores
1215,FBX643,3/2/2018 00:00:00,30/12/1899 21:02:35,Mondongos
1216,FAM813,3/2/2018 00:00:00,30/12/1899 21:15:51,La Iguana
1217,LJA075,3/2/2018 00:00:00,30/12/1899 21:27:31,Servientrega - R
1218,MFV743,3/2/2018 00:00:00,30/12/1899 21:37:44,Las Palmas
1219,KIX871,3/2/2018 00:00:00,30/12/1899 21:40:32,Mondongos
1220,MFV743,3/2/2018 00:00:00,30/12/1899 21:42:18,Chuscalito las Palmas
1221,ELM925,3/2/2018 00:00:00,30/12/1899 22:00:19,Don Quijote
1222,MNP119,3/2/2018 00:00:00,30/12/1899 22:13:12,Fatima
1223,KHG517,3/2/2018 00:00:00,30/12/1899 22:57:49,Fabrica de Licores
1224,ELM925,3/2/2018 00:00:00,30/12/1899 23:10:18,Mediterraneo
1225,MFV743,3/2/2018 00:00:00,30/12/1899 23:16:36,Las Palmas
1226,EKU521,3/2/2018 00:00:00,30/12/1899 23:27:48,Servientrega - R
1227,MFV141,3/2/2018 00:00:00,30/12/1899 23:51:25,Bomba Esso - Las Vegas
1228,MFV141,3/2/2018 00:00:00,30/12/1899 23:54:43,Carrefour Apolo - Puente 4 Sur
1229,FGU225,30/1/2018 00:00:00,30/12/1899 06:31:01,Guayabal
1230,FGU225,30/1/2018 00:00:00,30/12/1899 06:43:06,Servientrega - D
1231,EKR425,30/1/2018 00:00:00,30/12/1899 06:45:12,Don Quijote
1232,DFW940,30/1/2018 00:00:00,30/12/1899 06:52:15,Mondongos
1233,FCK823,30/1/2018 00:00:00,30/12/1899 06:54:54,Servientrega - R
1234,DFW940,30/1/2018 00:00:00,30/12/1899 07:10:07,10 Hotel
1235,FGJ136,30/1/2018 00:00:00,30/12/1899 07:13:48,Tugo II
1236,DFW940,30/1/2018 00:00:00,30/12/1899 07:14:52,Servientrega - D
1237,FGJ136,30/1/2018 00:00:00,30/12/1899 07:17:09,Servientrega - R
1238,MVV979,30/1/2018 00:00:00,30/12/1899 07:20:05,Campos de Paz
1239,MOP747,30/1/2018 00:00:00,30/12/1899 07:27:46,Bomba Esso - Las Vegas
1240,MOY387,30/1/2018 00:00:00,30/12/1899 07:28:15,La Iguana
1241,MVV979,30/1/2018 00:00:00,30/12/1899 07:35:46,La Mota
1242,FCR687,30/1/2018 00:00:00,30/12/1899 07:40:30,Palos Verdes
1243,MVV979,30/1/2018 00:00:00,30/12/1899 07:51:31,Fabrica de Licores
1244,MMQ780,30/1/2018 00:00:00,30/12/1899 07:56:23,Alpujarra - R
1245,FCV756,30/1/2018 00:00:00,30/12/1899 08:29:10,Transversal Superior
1246,FCV756,30/1/2018 00:00:00,30/12/1899 08:48:35,Las Palmas
1247,FGW001,30/1/2018 00:00:00,30/12/1899 09:01:26,Tugo II
1248,FGW001,30/1/2018 00:00:00,30/12/1899 09:04:02,Servientrega - R
1249,KIZ412,30/1/2018 00:00:00,30/12/1899 09:31:42,Servientrega - D
1250,HFK128,30/1/2018 00:00:00,30/12/1899 09:42:05,Almendros
1251,DFY102,30/1/2018 00:00:00,30/12/1899 09:42:30,exito de la 70
1252,LJA075,30/1/2018 00:00:00,30/12/1899 09:43:26,Tugo II
1253,EKW374,30/1/2018 00:00:00,30/12/1899 09:45:40,Servientrega - D
1254,LJA075,30/1/2018 00:00:00,30/12/1899 09:46:52,Servientrega - R
1255,KHS186,30/1/2018 00:00:00,30/12/1899 09:50:09,Transversal Superior
1256,MNP616,30/1/2018 00:00:00,30/12/1899 09:54:53,Aeroparque Juan Pablo II
1257,MNT201,30/1/2018 00:00:00,30/12/1899 10:09:16,exito del Poblado
1258,MNM244,30/1/2018 00:00:00,30/12/1899 10:14:59,Cementerio Universal
1259,MOL508,30/1/2018 00:00:00,30/12/1899 10:32:18,Palo x Huevo 
1260,MNQ682,30/1/2018 00:00:00,30/12/1899 10:42:56,Premium Plaza
1261,EKR425,30/1/2018 00:00:00,30/12/1899 10:51:05,Carrefour Apolo - Puente 4 Sur
1262,BRK342,30/1/2018 00:00:00,30/12/1899 10:54:05,10 Hotel
1263,MMT015,30/1/2018 00:00:00,30/12/1899 11:13:58,Transversal Superior
1264,MNS963,30/1/2018 00:00:00,30/12/1899 11:24:57,Cristo Rey N-S
1265,MOP247,30/1/2018 00:00:00,30/12/1899 11:37:33,Sauces
1266,FCK823,30/1/2018 00:00:00,30/12/1899 11:57:44,Zoologico Santa Fe
1267,FAV822,30/1/2018 00:00:00,30/12/1899 11:58:35,Servientrega - R
1268,MOP747,30/1/2018 00:00:00,30/12/1899 12:01:45,Servientrega - D
1269,FBP847,30/1/2018 00:00:00,30/12/1899 12:06:04,La Iguana
1270,FGJ136,30/1/2018 00:00:00,30/12/1899 12:13:03,Don Quijote
1271,FBP847,30/1/2018 00:00:00,30/12/1899 12:18:19,Carrefour Apolo - Puente 4 Sur
1272,DHY119,30/1/2018 00:00:00,30/12/1899 12:19:44,Aeroparque Juan Pablo II
1273,KHG517,30/1/2018 00:00:00,30/12/1899 12:25:11,Campos de Paz
1274,KHS186,30/1/2018 00:00:00,30/12/1899 12:27:25,Sauces
1275,FCK823,30/1/2018 00:00:00,30/12/1899 12:32:30,Servientrega - D
1276,KHS186,30/1/2018 00:00:00,30/12/1899 12:33:33,Zoologico Santa Fe
1277,FGJ136,30/1/2018 00:00:00,30/12/1899 12:37:35,Sauces
1278,DHY119,30/1/2018 00:00:00,30/12/1899 12:44:34,Fatima
1279,FCV756,30/1/2018 00:00:00,30/12/1899 12:52:24,Las Palmas
1280,MNS963,30/1/2018 00:00:00,30/12/1899 12:52:34,La Mota
1281,DFS076,30/1/2018 00:00:00,30/12/1899 13:16:29,Mall Campestre 
1282,FAV822,30/1/2018 00:00:00,30/12/1899 13:21:08,Mediterraneo
1283,MMS511,30/1/2018 00:00:00,30/12/1899 13:46:07,Don Quijote
1284,FBP847,30/1/2018 00:00:00,30/12/1899 13:54:45,Servientrega - D
1285,MMS511,30/1/2018 00:00:00,30/12/1899 13:56:06,La Mota
1286,KIZ412,30/1/2018 00:00:00,30/12/1899 13:56:36,Carrefour Apolo - Puente 4 Sur
1287,EKW374,30/1/2018 00:00:00,30/12/1899 14:04:40,Carrefour Apolo - Puente 4 Sur
1288,KGV004,30/1/2018 00:00:00,30/12/1899 14:25:08,Tugo II
1289,EKK801,30/1/2018 00:00:00,30/12/1899 14:31:11,La Mota
1290,EWZ301,30/1/2018 00:00:00,30/12/1899 14:31:42,Don Quijote
1291,KGV004,30/1/2018 00:00:00,30/12/1899 14:34:05,Mondongos
1292,EWX390,30/1/2018 00:00:00,30/12/1899 14:38:06,Tugo II
1293,EWX390,30/1/2018 00:00:00,30/12/1899 14:41:29,Servientrega - R
1294,EKK801,30/1/2018 00:00:00,30/12/1899 14:51:32,Fabrica de Licores
1295,MNO034,30/1/2018 00:00:00,30/12/1899 14:51:35,Chuscalito las Palmas
1296,MSR546,30/1/2018 00:00:00,30/12/1899 14:54:54,exito del Poblado
1297,MMT015,30/1/2018 00:00:00,30/12/1899 14:58:28,Tugo II
1298,MMT015,30/1/2018 00:00:00,30/12/1899 15:01:28,Servientrega - R
1299,EKV319,30/1/2018 00:00:00,30/12/1899 15:05:11,Bomba Esso - Las Vegas
1300,EKV119,30/1/2018 00:00:00,30/12/1899 15:05:55,Cristo Rey N-S
1301,DFY102,30/1/2018 00:00:00,30/12/1899 15:11:15,Sauces
1302,KIZ412,30/1/2018 00:00:00,30/12/1899 15:18:08,Servientrega - R
1303,EKV319,30/1/2018 00:00:00,30/12/1899 15:32:24,Barrio Antioquia
1304,FBX643,30/1/2018 00:00:00,30/12/1899 15:47:15,Las Palmas
1305,FCR687,30/1/2018 00:00:00,30/12/1899 15:49:01,Servientrega - D
1306,MNT418,30/1/2018 00:00:00,30/12/1899 15:49:59,Transversal Superior
1307,HFK128,30/1/2018 00:00:00,30/12/1899 15:51:40,Carrefour Apolo - Puente 4 Sur
1308,ABT037,30/1/2018 00:00:00,30/12/1899 15:56:45,Carrefour Apolo - Puente 4 Sur
1309,MNM244,30/1/2018 00:00:00,30/12/1899 16:04:44,Parque Juanes
1310,MNQ682,30/1/2018 00:00:00,30/12/1899 16:09:53,Mondongos
1311,MNQ682,30/1/2018 00:00:00,30/12/1899 16:15:42,Mondongos
1312,HFK128,30/1/2018 00:00:00,30/12/1899 16:36:51,Servientrega - D
1313,FBP847,30/1/2018 00:00:00,30/12/1899 16:44:56,Sauces
1314,KGV004,30/1/2018 00:00:00,30/12/1899 16:48:42,Mall Campestre 
1315,FBX643,30/1/2018 00:00:00,30/12/1899 17:04:37,Las Palmas
1316,MSR546,30/1/2018 00:00:00,30/12/1899 17:09:36,Premium Plaza
1317,MNW799,30/1/2018 00:00:00,30/12/1899 17:13:21,Carrefour Apolo - Puente 4 Sur
1318,MSR546,30/1/2018 00:00:00,30/12/1899 17:37:36,Carrefour Apolo - Puente 4 Sur
1319,MMS511,30/1/2018 00:00:00,30/12/1899 17:45:18,Guayabal
1320,EKV119,30/1/2018 00:00:00,30/12/1899 17:45:44,Guayabal
1321,HEX969,30/1/2018 00:00:00,30/12/1899 17:53:47,Las Palmas
1322,EKV119,30/1/2018 00:00:00,30/12/1899 17:59:31,Barrio Antioquia
1323,MOP747,30/1/2018 00:00:00,30/12/1899 18:00:24,Servientrega - D
1324,MMS511,30/1/2018 00:00:00,30/12/1899 18:13:54,Campos de Paz
1325,KJB229,30/1/2018 00:00:00,30/12/1899 18:18:20,Alpujarra - R
1326,EKK801,30/1/2018 00:00:00,30/12/1899 18:20:50,Cristo Rey S-N
1327,EKK801,30/1/2018 00:00:00,30/12/1899 18:23:06,Bodegas Olaya
1328,ITX936,30/1/2018 00:00:00,30/12/1899 18:33:57,Campos de Paz
1329,DHY119,30/1/2018 00:00:00,30/12/1899 18:56:57,Las Palmas
1330,MST604,30/1/2018 00:00:00,30/12/1899 19:07:11,Mediterraneo
1331,FCK823,30/1/2018 00:00:00,30/12/1899 19:10:18,Fabrica de Licores
1332,FGU225,30/1/2018 00:00:00,30/12/1899 19:13:21,Bomba Esso - Las Vegas
1333,KIZ412,30/1/2018 00:00:00,30/12/1899 19:20:33,exito de la 70
1334,FAV822,30/1/2018 00:00:00,30/12/1899 19:29:39,Mondongos
1335,HEX969,30/1/2018 00:00:00,30/12/1899 19:39:52,Servientrega - D
1336,EKU521,30/1/2018 00:00:00,30/12/1899 19:55:18,Sauces
1337,MNL789,30/1/2018 00:00:00,30/12/1899 19:57:23,Almendros
1338,KHG517,30/1/2018 00:00:00,30/12/1899 20:14:55,Almendros
1339,MNL789,30/1/2018 00:00:00,30/12/1899 20:21:27,Almendros
1340,MSR546,30/1/2018 00:00:00,30/12/1899 20:52:23,Tugo II
1341,MSR546,30/1/2018 00:00:00,30/12/1899 21:03:08,Carrefour Apolo - Puente 4 Sur
1342,EKR425,30/1/2018 00:00:00,30/12/1899 21:22:37,Servientrega - D
1343,EKU521,30/1/2018 00:00:00,30/12/1899 21:43:02,Tugo II
1344,EKU521,30/1/2018 00:00:00,30/12/1899 21:45:34,Servientrega - R
1345,MST604,30/1/2018 00:00:00,30/12/1899 21:50:53,Barrio Antioquia
1346,MST604,30/1/2018 00:00:00,30/12/1899 21:58:03,Fatima
1347,MNQ464,31/1/2018 00:00:00,30/12/1899 05:09:31,10 Hotel
1348,FHK060,31/1/2018 00:00:00,30/12/1899 05:32:01,Fabrica de Licores
1349,DHY119,31/1/2018 00:00:00,30/12/1899 05:37:56,Aeroparque Juan Pablo II
1350,MNL789,31/1/2018 00:00:00,30/12/1899 05:54:32,Almendros
1351,FCV756,31/1/2018 00:00:00,30/12/1899 05:58:19,Campos de Paz
1352,ITX936,31/1/2018 00:00:00,30/12/1899 06:11:15,La Mota
1353,DFW940,31/1/2018 00:00:00,30/12/1899 06:16:44,exito del Poblado
1354,ITX936,31/1/2018 00:00:00,30/12/1899 06:24:12,Fabrica de Licores
1355,DFW940,31/1/2018 00:00:00,30/12/1899 06:44:47,Servientrega - D
1356,FGJ136,31/1/2018 00:00:00,30/12/1899 06:56:21,Tugo II
1357,FGJ136,31/1/2018 00:00:00,30/12/1899 06:59:35,Servientrega - R
1358,KAP313,31/1/2018 00:00:00,30/12/1899 06:59:50,Chuscalito las Palmas
1359,KAP313,31/1/2018 00:00:00,30/12/1899 07:05:42,Las Palmas
1360,MFV743,31/1/2018 00:00:00,30/12/1899 07:44:51,Cementerio Universal
1361,MNS963,31/1/2018 00:00:00,30/12/1899 07:45:43,Guayabal
1362,FBX643,31/1/2018 00:00:00,30/12/1899 07:58:19,Alpujarra - R
1363,MNS963,31/1/2018 00:00:00,30/12/1899 08:07:29,Barrio Antioquia
1364,KIW930,31/1/2018 00:00:00,30/12/1899 08:33:04,Sauces
1365,MVV979,31/1/2018 00:00:00,30/12/1899 08:38:54,Mall Campestre 
1366,FCV756,31/1/2018 00:00:00,30/12/1899 08:49:00,Fabrica de Licores
1367,HFK128,31/1/2018 00:00:00,30/12/1899 08:51:04,Premium Plaza
1368,MOY387,31/1/2018 00:00:00,30/12/1899 09:08:01,La Iguana
1369,MOY387,31/1/2018 00:00:00,30/12/1899 09:12:26,La Iguana
1370,MFV743,31/1/2018 00:00:00,30/12/1899 09:14:59,La Iguana
1371,KBV558,31/1/2018 00:00:00,30/12/1899 09:16:20,Tugo II
1372,KBV558,31/1/2018 00:00:00,30/12/1899 09:19:41,Servientrega - R
1373,EKK801,31/1/2018 00:00:00,30/12/1899 09:21:37,Carrefour Apolo - Puente 4 Sur
1374,FGW001,31/1/2018 00:00:00,30/12/1899 09:23:12,Servientrega - D
1375,BRK342,31/1/2018 00:00:00,30/12/1899 09:26:24,exito del Poblado
1376,EKW374,31/1/2018 00:00:00,30/12/1899 09:29:30,Aeroparque Juan Pablo II
1377,KGV004,31/1/2018 00:00:00,30/12/1899 09:29:47,Transversal Superior
1378,MNS963,31/1/2018 00:00:00,30/12/1899 09:31:08,La Mota
1379,MMQ780,31/1/2018 00:00:00,30/12/1899 09:48:08,Alpujarra - R
1380,BRK342,31/1/2018 00:00:00,30/12/1899 09:48:21,10 Hotel
1381,EKW374,31/1/2018 00:00:00,30/12/1899 09:49:41,Servientrega - D
1382,DFY102,31/1/2018 00:00:00,30/12/1899 09:54:29,Mediterraneo
1383,MNW799,31/1/2018 00:00:00,30/12/1899 10:45:43,Carrefour Apolo - Puente 4 Sur
1384,MNP616,31/1/2018 00:00:00,30/12/1899 11:10:52,Aeroparque Juan Pablo II
1385,MNS963,31/1/2018 00:00:00,30/12/1899 11:13:20,Cristo Rey N-S
1386,EKY965,31/1/2018 00:00:00,30/12/1899 11:17:45,Las Palmas
1387,FHJ225,31/1/2018 00:00:00,30/12/1899 11:21:47,Carrefour Apolo - Puente 4 Sur
1388,EKK801,31/1/2018 00:00:00,30/12/1899 11:25:02,Campos de Paz
1389,EKK801,31/1/2018 00:00:00,30/12/1899 11:29:32,Aeroparque Juan Pablo II
1390,MNL789,31/1/2018 00:00:00,30/12/1899 11:40:17,Mondongos
1391,LJA075,31/1/2018 00:00:00,30/12/1899 11:45:00,CAI Minorista 
1392,KHG517,31/1/2018 00:00:00,30/12/1899 11:50:03,Servientrega - D
1393,DFY102,31/1/2018 00:00:00,30/12/1899 11:51:36,Zoologico Santa Fe
1394,DFY102,31/1/2018 00:00:00,30/12/1899 11:56:28,Carrefour Apolo - Puente 4 Sur
1395,MNL789,31/1/2018 00:00:00,30/12/1899 11:58:47,Las Palmas
